LagList,Cost,Nu,Gamma,Correlacion
0.25,1,2,0.4,0.479098629973612
4,1,1,0.6,0.47905120649691
0.25,2,2,0.5,0.479000248086254
0.5,2,1,0.5,0.478987925889954
1,1,0.5,0.6,0.478983568352447
0.5,2,16,0.5,0.478886883786604
2,1,0.5,0.9,0.478822571680765
0.5,1,8,0.7,0.478638692923922
0.5,1,32,0.5,0.478605875904678
0.5,2,1,0.6,0.478602145172609
0.25,1,256,0.5,0.47850126547677
4,1,0.5,0.3,0.478496445288202
0.5,1,0.25,0.5,0.478482508196155
4,1,2,0.7,0.478456877694147
0.25,2,64,0.4,0.478385148423391
0.25,1,64,0.4,0.478237968842764
0.25,1,4096,0.3,0.47814849586071
0.0625,2,4096,0.2,0.478077152881902
4,1,1,0.4,0.478036761403366
0.5,1,16,0.7,0.478034290645438
0.0625,7,2,0.5,0.477877457330878
0.25,2,8,0.6,0.477844572429315
2,1,0.5,0.3,0.477836185835044
0.0625,8,16,0.5,0.477792667494796
1,1,8,0.5,0.477790525687114
0.125,2,128,0.3,0.477588453816995
0.25,2,2,0.7,0.477365773829519
4,1,2,0.3,0.477269761176529
0.25,2,1,0.5,0.477233005184671
0.5,2,2,0.8,0.477182261239359
0.0625,2,16,0.1,0.477164911020795
0.25,2,64,0.3,0.477149559732861
0.0625,6,16,0.7,0.477126864296574
0.25,1,256,0.3,0.476783975500777
0.5,1,256,0.7,0.476512632082486
0.5,2,8,0.8,0.476400236902736
1,1,4,0.2,0.476382904605831
0.25,3,8,0.4,0.476370656944573
0.5,1,16,0.2,0.476369570538717
0.25,2,1,0.6,0.476354681960698
0.0625,5,512,1,0.476328774673327
0.5,1,0.25,0.4,0.476295421627427
0.5,1,2,0.6,0.476229461347378
0.0625,5,512,0.9,0.476200326805461
1,1,0.25,0.3,0.476185236318356
1,1,16,1,0.476155826596906
0.0625,5,512,0.8,0.476075274320881
1,1,1024,0.9,0.476016061194673
0.25,1,2048,0.8,0.475917230233933
2,1,0.25,0.5,0.47585513676182
1,1,64,0.8,0.475838873980371
0.25,2,4,0.6,0.475832075390998
2,1,16,0.4,0.475804793368286
0.5,2,32,0.6,0.475504994407422
0.25,2,2,0.4,0.475496711621589
