PAM,VFSC
143.13,66.75
142.68,66.63
142.21,66.51
141.74,66.37
141.29,66.17
140.89,65.79
140.50,65.44
140.10,65.20
139.68,65.24
139.21,65.70
138.75,66.24
138.31,66.80
137.90,67.09
137.56,67.11
137.26,67.10
137.02,67.13
136.78,67.38
136.61,67.79
136.59,68.32
136.76,68.96
137.41,69.83
138.26,70.76
139.22,71.67
140.20,72.45
141.08,72.97
141.92,73.35
142.71,73.57
143.40,73.59
143.98,73.43
144.48,73.15
144.88,72.80
145.16,72.40
145.36,71.98
145.50,71.56
145.62,71.15
145.79,70.84
145.92,70.55
146.00,70.31
145.97,70.11
145.81,69.98
145.59,69.83
145.33,69.65
145.08,69.27
144.84,68.77
144.61,68.29
144.42,67.89
144.35,67.87
144.32,67.97
144.29,68.11
144.20,68.17
143.98,67.97
143.72,67.71
143.43,67.42
143.15,67.17
142.90,66.99
142.64,66.81
142.37,66.62
142.07,66.40
141.75,66.15
141.42,65.89
141.10,65.63
140.82,65.39
140.57,65.15
140.32,64.94
140.07,64.74
139.81,64.53
139.55,64.37
139.31,64.28
139.07,64.30
138.83,64.46
138.65,64.73
138.55,65.11
138.53,65.62
138.63,66.26
138.90,66.97
139.40,67.76
140.41,68.67
141.63,69.59
142.95,70.46
144.23,71.23
145.29,71.83
146.28,72.26
147.16,72.50
147.93,72.44
148.57,72.11
149.09,71.61
149.51,70.95
149.79,70.13
149.96,69.25
150.05,68.36
150.09,67.56
150.11,66.97
150.06,66.48
149.91,66.09
149.65,65.81
149.25,65.64
148.75,65.51
148.16,65.39
147.40,65.14
146.55,64.82
145.69,64.51
144.85,64.22
144.17,64.04
143.59,63.93
143.11,63.87
142.74,63.86
142.59,63.91
142.51,63.99
142.45,64.05
142.35,64.08
142.11,64.00
141.83,63.90
141.53,63.76
141.23,63.59
140.93,63.41
140.65,63.22
140.39,63.04
140.18,62.90
140.01,62.79
139.87,62.70
139.75,62.62
139.67,62.56
139.60,62.51
139.55,62.48
139.51,62.46
139.44,62.36
139.38,62.31
139.32,62.36
139.28,62.56
139.20,63.07
139.20,63.69
139.30,64.40
139.63,65.16
140.26,65.92
140.97,66.65
141.69,67.32
142.29,67.86
142.76,68.26
143.12,68.49
143.36,68.52
143.38,68.13
143.26,67.54
143.05,66.85
142.79,66.15
142.54,65.63
142.27,65.15
141.96,64.72
141.63,64.33
141.26,63.97
140.89,63.68
140.52,63.48
140.19,63.40
139.92,63.52
139.67,63.70
139.42,63.90
139.13,64.01
138.76,63.94
138.43,63.90
138.21,63.93
138.17,64.14
138.37,64.59
138.73,65.17
139.25,65.86
139.99,66.78
