batch_size;neurons;hidden_layers;dropout;epochs;optimization;activation;CORRELATION;FISHER
198;100;5;0.6;10;RMSprop;hard_sigmoid;0.3222384609124421;0.33414293461772204
198;90;5;0.6;10;RMSprop;sigmoid;0.3222274511669106;0.33413064923031677
198;20;2;0.6;10;RMSprop;hard_sigmoid;0.3222200633313982;0.33412240545931426
198;40;4;0.6;10;RMSprop;sigmoid;0.32220798519977406;0.334108928080967
198;60;5;0.6;10;RMSprop;sigmoid;0.32217829523562663;0.33407579904382756
198;90;5;0.6;10;RMSprop;hard_sigmoid;0.3221719162177646;0.33406868121848043
198;80;5;0.6;10;RMSprop;sigmoid;0.3221556253005375;0.3340505036618235
198;70;5;0.6;10;RMSprop;hard_sigmoid;0.32214592641040296;0.3340396816512891
198;80;5;0.6;10;RMSprop;hard_sigmoid;0.32212537899796234;0.3340167551212113
198;100;5;0.6;10;RMSprop;sigmoid;0.32212137076380465;0.33401228282621165
198;30;4;0.6;10;RMSprop;sigmoid;0.3220322571594735;0.3339128552543328
198;50;5;0.6;10;RMSprop;sigmoid;0.3220188284300261;0.3338978728419787
198;30;5;0.6;10;RMSprop;hard_sigmoid;0.32201032012022723;0.3338883802089148
198;60;5;0.6;10;RMSprop;hard_sigmoid;0.3219885290684188;0.33386406842289196
198;50;5;0.6;10;RMSprop;hard_sigmoid;0.32193305330699773;0.3338021770823897
198;30;4;0.6;10;RMSprop;hard_sigmoid;0.32191425243506655;0.33378120251450716
198;20;4;0.6;10;RMSprop;sigmoid;0.32190265943331164;0.3337682693085905
198;20;3;0.6;10;RMSprop;hard_sigmoid;0.3217977047477667;0.33365118628001644
198;20;3;0.6;10;RMSprop;sigmoid;0.3217038507525279;0.3335464941860854
198;40;5;0.6;10;RMSprop;sigmoid;0.3216406903322999;0.33347604407832615
198;20;5;0.6;10;RMSprop;sigmoid;0.3216240767071723;0.33345751351475933
198;40;5;0.6;10;RMSprop;hard_sigmoid;0.321621092829582;0.333454185370287
198;30;5;0.6;10;RMSprop;sigmoid;0.3212582947703599;0.333049582309653
198;10;4;0.6;10;RMSprop;hard_sigmoid;0.31994415074151267;0.33158488929048324
198;10;4;0.6;10;RMSprop;sigmoid;0.3196195659580259;0.33122333143845173
198;10;2;0.6;10;RMSprop;softsign;0.3192393756161149;0.33079994029467497
198;80;2;0.6;10;RMSprop;linear;0.317727066879311;0.3291169196823164
198;10;5;0.6;10;RMSprop;sigmoid;0.3104276020779057;0.32101854220018905
198;80;2;0.6;10;RMSprop;tanh;0.29901075913953806;0.3084328803125845
198;20;2;0.7;10;RMSprop;softsign;0.5435797684526561;0.6092227886495669
198;30;2;0.7;10;RMSprop;softsign;0.5410373038240995;0.605621053880232
198;40;2;0.7;10;RMSprop;softsign;0.536384967957337;0.59906648847492
198;20;2;0.7;10;RMSprop;tanh;0.5345720122078322;0.5965247078028912
198;30;2;0.7;10;RMSprop;tanh;0.5343303197738128;0.5961863745001386
198;20;2;0.7;10;RMSprop;linear;0.5332508558553459;0.5946767769654786
198;30;2;0.7;10;RMSprop;linear;0.5330910079662903;0.5944534411156309
198;50;2;0.7;10;RMSprop;softsign;0.5326965656778975;0.5939025626672855
198;40;2;0.7;10;RMSprop;linear;0.5306692682282508;0.5910763220108849
